month,group,district,count
2013-09,SHOPLIFTING,D,38
2012-05,"PERSONS - LOST, FOUND, MISSING",L,12
2011-01,PROWLER,Q,2
2011-04,CAR PROWL,D,63
2013-12,PROWLER,U,2
2012-08,NARCOTICS COMPLAINTS,J,12
2011-11,HAZARDS,W,15
2012-03,TRAFFIC RELATED CALLS,M,239
2012-03,TRESPASS,W,4
2013-05,TRAFFIC RELATED CALLS,G,197
2013-10,PERSON DOWN/INJURY,W,6
2011-04,PROWLER,O,2
2011-10,ASSAULTS,D,41
2011-09,ACCIDENT INVESTIGATION,R,71
2011-05,MENTAL HEALTH,J,35
2012-05,CAR PROWL,Q,62
2013-07,SHOPLIFTING,J,16
2011-03,PROSTITUTION,U,1
2012-05,ASSAULTS,L,15
2012-10,MENTAL HEALTH,C,38
2011-06,ACCIDENT INVESTIGATION,M,105
2013-05,FRAUD CALLS,L,14
2013-07,PROPERTY DAMAGE,B,16
2013-12,PROWLER,F,2
2012-01,FRAUD CALLS,B,14
2013-05,"NUISANCE, MISCHIEF",B,15
2013-05,ANIMAL COMPLAINTS,B,2
2012-12,SUSPICIOUS CIRCUMSTANCES,D,183
2013-03,"PROPERTY - MISSING, FOUND",R,9
2013-10,MENTAL HEALTH,F,14
2012-05,"PERSONS - LOST, FOUND, MISSING",W,10
2011-03,MENTAL HEALTH,N,46
2013-07,ROBBERY,R,16
2011-06,BURGLARY,F,41
2011-01,MENTAL HEALTH,L,37
2012-11,LIQUOR VIOLATIONS,NULL,1
2011-11,ASSAULTS,S,14
2012-12,AUTO THEFTS,B,23
2012-04,DISTURBANCES,C,157
2012-01,DISTURBANCES,D,169
2011-06,LIQUOR VIOLATIONS,F,2
2012-04,PROSTITUTION,K,1
2011-07,CAR PROWL,E,30
2012-04,FALSE ALARMS,G,58
2013-02,ANIMAL COMPLAINTS,C,1
2012-11,NARCOTICS COMPLAINTS,Q,3
2011-05,SHOPLIFTING,M,55
2012-08,MENTAL HEALTH,B,33
2011-01,"THREATS, HARASSMENT",C,13
2013-09,WEAPONS CALLS,E,2
2013-03,BURGLARY,E,37
2012-01,SUSPICIOUS CIRCUMSTANCES,J,167
2013-12,DISTURBANCES,K,292
2011-01,PERSON DOWN/INJURY,C,15
2013-03,HOMICIDE,G,2
2013-06,WEAPONS CALLS,W,4
2012-02,TRAFFIC RELATED CALLS,B,169
2012-01,PROWLER,L,2
2011-10,CAR PROWL,S,16
2011-12,PROPERTY DAMAGE,N,21
2013-12,ARREST,O,3
2013-10,PROPERTY DAMAGE,C,19
2013-09,ARREST,L,5
2012-07,MISCELLANEOUS MISDEMEANORS,J,4
2013-02,PROSTITUTION,R,2
2012-12,WEAPONS CALLS,C,1
2011-04,TRAFFIC RELATED CALLS,K,309
2013-02,TRAFFIC RELATED CALLS,R,172
2013-02,FALSE ALARMS,R,53
2012-10,MISCELLANEOUS MISDEMEANORS,N,5
2013-09,FAILURE TO REGISTER (SEX OFFENDER),W,1
2011-06,FRAUD CALLS,K,12
2011-01,MENTAL HEALTH,W,34
2013-10,"PERSONS - LOST, FOUND, MISSING",U,2
2011-01,ROBBERY,U,8
2012-04,BURGLARY,C,19
2012-05,ACCIDENT INVESTIGATION,B,92
2012-09,FALSE ALARMS,U,42
2013-04,HAZARDS,C,9
2012-12,FRAUD CALLS,R,9
2011-09,"PERSONS - LOST, FOUND, MISSING",Q,5
2011-08,TRESPASS,NULL,1
2012-03,SUSPICIOUS CIRCUMSTANCES,O,224
2013-09,MISCELLANEOUS MISDEMEANORS,F,2
2011-09,SUSPICIOUS CIRCUMSTANCES,Q,172
2012-04,LIQUOR VIOLATIONS,C,75
2011-02,SHOPLIFTING,L,16
2011-02,ROBBERY,B,8
2012-04,ROBBERY,S,15
2011-10,PROPERTY DAMAGE,K,29
2013-03,MENTAL HEALTH,B,31
2013-09,PROSTITUTION,J,1
2013-12,FALSE ALARMS,E,21
2011-09,"PERSONS - LOST, FOUND, MISSING",R,16
2011-01,ROBBERY,L,6
2012-01,WEAPONS CALLS,O,4
2013-12,AUTO THEFTS,M,12
2013-05,SUSPICIOUS CIRCUMSTANCES,U,272
2013-09,CAR PROWL,L,25
2011-01,FALSE ALARMS,Q,67
2013-02,SHOPLIFTING,N,66
2011-05,SUSPICIOUS CIRCUMSTANCES,D,205
2012-11,"PERSONS - LOST, FOUND, MISSING",F,7
2013-02,DRIVE BY (NO INJURY),R,1
2013-12,SHOPLIFTING,99,1
2013-02,SUSPICIOUS CIRCUMSTANCES,N,253
2011-07,ANIMAL COMPLAINTS,L,8
2012-02,BURGLARY,R,45
2011-01,BIKE,U,2
2012-06,"PERSONS - LOST, FOUND, MISSING",B,6
2013-11,"PERSONS - LOST, FOUND, MISSING",F,6
2012-03,"NUISANCE, MISCHIEF",B,20
2013-12,ANIMAL COMPLAINTS,O,4
2013-09,AUTO THEFTS,M,17
2013-08,AUTO THEFTS,N,49
2012-08,CAR PROWL,L,33
2013-04,SHOPLIFTING,R,8
2012-03,DISTURBANCES,C,109
2011-08,OTHER PROPERTY,O,49
2013-01,NARCOTICS COMPLAINTS,R,2
2011-04,FALSE ALARMS,G,40
2011-11,CAR PROWL,M,28
2011-11,ROBBERY,N,11
2011-02,WEAPONS CALLS,F,2
2011-09,TRAFFIC RELATED CALLS,E,189
2013-07,TRAFFIC RELATED CALLS,B,229
2012-11,ROBBERY,L,2
2011-10,ANIMAL COMPLAINTS,D,1
2011-09,ASSAULTS,R,26
2013-09,ANIMAL COMPLAINTS,L,3
2013-04,ASSAULTS,N,22
2012-09,ARREST,L,21
2011-09,TRESPASS,D,36
2011-09,"PROPERTY - MISSING, FOUND",W,16
2011-12,OTHER PROPERTY,E,32
2013-03,ROBBERY,99,1
2013-05,ASSAULTS,N,30
2013-12,ASSAULTS,K,73
2013-10,SHOPLIFTING,D,39
2011-07,FALSE ALARMS,J,62
2013-03,TRESPASS,G,22
2011-04,MENTAL HEALTH,Q,12
2011-04,BURGLARY,Q,33
2013-02,OTHER VICE,O,1
2012-04,TRESPASS,D,84
2012-11,"PROPERTY - MISSING, FOUND",B,15
2011-09,MENTAL HEALTH,U,30
2011-11,ANIMAL COMPLAINTS,M,1
2013-09,FRAUD CALLS,L,19
2011-06,PROSTITUTION,G,7
2012-09,MENTAL HEALTH,D,46
2012-02,"NUISANCE, MISCHIEF",B,19
2012-04,BURGLARY,N,40
2013-06,AUTO THEFTS,O,28
2012-09,TRAFFIC RELATED CALLS,C,271
2012-06,ASSAULTS,K,44
2011-04,DISTURBANCES,R,73
2012-11,WEAPONS CALLS,B,1
2012-11,ANIMAL COMPLAINTS,K,3
2011-06,AUTO THEFTS,D,21
2013-05,WEAPONS CALLS,C,4
2011-06,OTHER PROPERTY,E,43
2013-08,LIQUOR VIOLATIONS,W,12
2013-07,DISTURBANCES,N,211
2012-12,MENTAL HEALTH,E,68
2011-07,BURGLARY,C,38
2012-11,"THREATS, HARASSMENT",O,13
2013-09,PROWLER,F,3
2012-07,TRESPASS,U,28
2012-05,SUSPICIOUS CIRCUMSTANCES,W,260
2012-10,ANIMAL COMPLAINTS,W,4
2011-07,DISTURBANCES,D,225
2011-11,NARCOTICS COMPLAINTS,B,6
2013-09,PROPERTY DAMAGE,Q,17
2011-08,"PROPERTY - MISSING, FOUND",M,27
2012-09,MENTAL HEALTH,S,29
2011-11,"NUISANCE, MISCHIEF",G,5
2013-02,MISCELLANEOUS MISDEMEANORS,C,3
2013-05,AUTO THEFTS,J,66
2013-02,SHOPLIFTING,O,14
2013-03,FRAUD CALLS,S,13
2012-07,ROBBERY,E,8
2011-02,CAR PROWL,U,47
2012-09,CAR PROWL,F,18
2011-06,"THREATS, HARASSMENT",J,19
2012-11,FRAUD CALLS,O,9
2012-09,AUTO THEFTS,U,35
2013-01,ROBBERY,O,10
2012-06,ASSAULTS,F,31
2013-04,ACCIDENT INVESTIGATION,S,70
2013-06,ANIMAL COMPLAINTS,G,6
2012-12,AUTO THEFTS,W,29
2011-11,TRAFFIC RELATED CALLS,NULL,1
2012-11,ARREST,G,18
2011-01,DRIVE BY (NO INJURY),S,12
2011-02,BURGLARY,C,49
2012-01,PROPERTY DAMAGE,K,18
2013-11,BIKE,R,1
2011-02,"NUISANCE, MISCHIEF",NULL,1
2012-09,MISCELLANEOUS MISDEMEANORS,C,13
2013-09,"PERSONS - LOST, FOUND, MISSING",C,4
2012-02,ASSAULTS,W,10
2011-10,FRAUD CALLS,S,12
2012-04,AUTO THEFTS,F,34
2013-07,TRAFFIC RELATED CALLS,E,218
2013-08,AUTO THEFTS,C,38
2011-05,OTHER VICE,N,3
2012-06,CAR PROWL,N,32
2011-04,ROBBERY,M,16
2013-11,MISCELLANEOUS MISDEMEANORS,M,12
2012-07,BURGLARY,G,21
2012-12,CAR PROWL,E,38
2013-02,SUSPICIOUS CIRCUMSTANCES,D,157
2011-12,HAZARDS,U,9
2012-07,MISCELLANEOUS MISDEMEANORS,L,4
2013-10,FRAUD CALLS,F,15
2012-09,FALSE ALARMS,D,32
2013-06,ASSAULTS,F,13
2012-01,"THREATS, HARASSMENT",O,9
2013-02,PERSON DOWN/INJURY,S,2
2013-01,ACCIDENT INVESTIGATION,F,97
2011-07,LEWD CONDUCT,C,5
2012-10,AUTO THEFTS,U,45
2011-08,ARREST,E,42
2012-11,OTHER PROPERTY,B,26
2011-02,NARCOTICS COMPLAINTS,N,10
2012-10,RECKLESS BURNING,F,1
2012-01,ASSAULTS,R,11
2013-10,CAR PROWL,R,33
2011-08,"PROPERTY - MISSING, FOUND",F,7
2012-04,ROBBERY,M,13
2013-10,DISTURBANCES,L,95
2012-03,FALSE ALARMS,S,58
2013-04,FALSE ALARMS,O,61
2011-05,HAZARDS,Q,14
2012-06,PROSTITUTION,G,2
2011-12,"NUISANCE, MISCHIEF",K,61
2012-04,MENTAL HEALTH,O,14
2011-05,BIKE,D,1
2011-01,BIKE,F,1
2013-02,LIQUOR VIOLATIONS,R,8
2012-12,ROBBERY,B,3
2013-04,NARCOTICS COMPLAINTS,U,14
2011-11,MISCELLANEOUS MISDEMEANORS,D,3
2012-07,TRAFFIC RELATED CALLS,B,196
2012-04,"PROPERTY - MISSING, FOUND",W,10
2013-07,HOMICIDE,D,2
2012-05,SUSPICIOUS CIRCUMSTANCES,E,241
2013-07,ROBBERY,D,3
2012-05,"THREATS, HARASSMENT",B,11
2011-12,HAZARDS,D,15
2012-06,PROSTITUTION,N,69
2011-03,AUTO THEFTS,S,42
2013-08,SUSPICIOUS CIRCUMSTANCES,D,177
2013-03,SHOPLIFTING,K,88
2012-08,WEAPONS CALLS,M,7
2013-04,ANIMAL COMPLAINTS,U,8
2011-11,NARCOTICS COMPLAINTS,U,38
2012-05,SHOPLIFTING,F,14
2011-08,LEWD CONDUCT,D,1
2012-11,MENTAL HEALTH,Q,21
2012-08,DISTURBANCES,NULL,1
2013-05,RECKLESS BURNING,K,1
2012-04,PROPERTY DAMAGE,N,27
2011-08,LEWD CONDUCT,K,8
2011-09,PROPERTY DAMAGE,D,22
2012-05,FALSE ALARMS,C,93
2012-03,OTHER PROPERTY,U,34
2013-05,LIQUOR VIOLATIONS,B,25
2013-07,"PERSONS - LOST, FOUND, MISSING",F,9
2011-10,"PROPERTY - MISSING, FOUND",E,11
2011-10,LIQUOR VIOLATIONS,K,419
2011-01,NARCOTICS COMPLAINTS,C,15
2011-12,WEAPONS CALLS,R,4
2012-05,NARCOTICS COMPLAINTS,M,115
2011-04,HOMICIDE,N,1
2011-11,ANIMAL COMPLAINTS,S,6
2012-04,ROBBERY,C,8
2013-07,SHOPLIFTING,E,35
2011-11,TRESPASS,L,8
2013-08,PROPERTY DAMAGE,S,18
2012-01,ASSAULTS,K,59
2012-02,WEAPONS CALLS,R,6
2011-09,HAZARDS,W,12
2011-08,"THREATS, HARASSMENT",K,32
2011-06,WEAPONS CALLS,S,6
2013-02,"PERSONS - LOST, FOUND, MISSING",J,3
2013-12,"PROPERTY - MISSING, FOUND",B,14
2012-02,HAZARDS,N,9
2012-04,DRIVE BY (NO INJURY),O,2
2011-07,OTHER VICE,N,5
2012-02,"PROPERTY - MISSING, FOUND",E,10
2012-03,"NUISANCE, MISCHIEF",D,95
2011-11,"THREATS, HARASSMENT",W,18
2012-03,ANIMAL COMPLAINTS,F,4
2013-07,ROBBERY,M,15
2013-11,MENTAL HEALTH,G,15
2011-12,ACCIDENT INVESTIGATION,G,64
2011-02,SUSPICIOUS CIRCUMSTANCES,S,229
2012-11,NARCOTICS COMPLAINTS,G,15
2011-06,PROWLER,O,4
2011-04,LEWD CONDUCT,N,2
2013-10,SUSPICIOUS CIRCUMSTANCES,E,303
2012-04,TRAFFIC RELATED CALLS,M,190
2011-07,BURGLARY,D,22
2011-04,"PROPERTY - MISSING, FOUND",N,14
2011-03,PROWLER,M,5
2013-05,FRAUD CALLS,S,20
2011-11,MISCELLANEOUS MISDEMEANORS,O,4
2011-01,DISTURBANCES,Q,93
2012-09,ROBBERY,W,7
2012-11,ROBBERY,U,9
2011-01,LEWD CONDUCT,B,4
2011-08,ANIMAL COMPLAINTS,J,5
2013-09,TRAFFIC RELATED CALLS,C,283
2011-02,OTHER PROPERTY,D,31
2013-06,ARREST,E,21
2013-09,ASSAULTS,C,12
2013-02,SHOPLIFTING,E,16
2011-08,PERSON DOWN/INJURY,C,7
2011-07,"PROPERTY - MISSING, FOUND",B,9
2013-04,ROBBERY,U,3
2011-03,SHOPLIFTING,G,42
2013-08,PERSON DOWN/INJURY,E,10
2012-10,"NUISANCE, MISCHIEF",U,26
2012-11,"PROPERTY - MISSING, FOUND",D,19
2011-04,ROBBERY,D,8
2011-08,ARREST,S,30
2013-12,ASSAULTS,U,18
2011-04,FRAUD CALLS,S,12
2011-08,PROSTITUTION,E,6
2013-05,DRIVE BY (NO INJURY),99,1
2011-03,SHOPLIFTING,M,61
2013-04,NARCOTICS COMPLAINTS,R,7
2011-04,"PROPERTY - MISSING, FOUND",F,4
2013-07,HAZARDS,W,20
2013-07,"NUISANCE, MISCHIEF",O,28
2012-09,WEAPONS CALLS,O,10
2012-07,ARREST,J,11
2013-12,WEAPONS CALLS,R,4
2013-07,AUTO THEFTS,J,66
2013-03,NARCOTICS COMPLAINTS,99,3
2013-01,NARCOTICS COMPLAINTS,D,28
2012-02,ASSAULTS,M,40
2012-08,ROBBERY,O,10
2011-06,HAZARDS,M,15
2011-03,AUTO THEFTS,U,34
2011-02,"PROPERTY - MISSING, FOUND",R,7
2011-03,PROWLER,U,1
2011-06,OTHER PROPERTY,D,84
2012-02,MISCELLANEOUS MISDEMEANORS,D,6
2011-12,MENTAL HEALTH,K,84
2012-04,RECKLESS BURNING,N,1
2011-03,"NUISANCE, MISCHIEF",O,16
2013-05,ANIMAL COMPLAINTS,Q,2
2013-11,LEWD CONDUCT,B,3
2011-09,"PERSONS - LOST, FOUND, MISSING",W,8
2012-10,PERSON DOWN/INJURY,G,6
2011-01,SUSPICIOUS CIRCUMSTANCES,M,347
2011-05,DISTURBANCES,R,113
2012-03,SUSPICIOUS CIRCUMSTANCES,NULL,1
2013-11,OTHER PROPERTY,S,27
2013-12,FALSE ALARMS,Q,57
2012-09,SUSPICIOUS CIRCUMSTANCES,99,6
2012-09,SUSPICIOUS CIRCUMSTANCES,G,175
2012-03,"PROPERTY - MISSING, FOUND",G,6
2012-06,MISCELLANEOUS MISDEMEANORS,W,42
2011-11,NARCOTICS COMPLAINTS,D,26
2012-10,ANIMAL COMPLAINTS,N,5
2011-10,PERSON DOWN/INJURY,K,15
2012-09,"PROPERTY - MISSING, FOUND",Q,9
2012-07,MENTAL HEALTH,K,87
2013-12,AUTO THEFTS,W,48
2011-12,HAZARDS,M,16
2013-05,CAR PROWL,C,39
2013-08,"PERSONS - LOST, FOUND, MISSING",S,6
2012-08,LIQUOR VIOLATIONS,L,29
2013-05,SHOPLIFTING,NULL,1
2011-02,"PROPERTY - MISSING, FOUND",W,5
2012-04,"PERSONS - LOST, FOUND, MISSING",M,6
2013-12,LIQUOR VIOLATIONS,J,8
2013-07,PROWLER,K,4
2012-04,ACCIDENT INVESTIGATION,O,90
2011-04,HARBOR CALLS,Q,2
2013-06,ACCIDENT INVESTIGATION,B,90
2013-02,ROBBERY,D,9
2012-05,FALSE ALARMS,D,38
2011-07,SHOPLIFTING,M,70
2011-10,WEAPONS CALLS,D,6
2012-10,"THREATS, HARASSMENT",G,14
2012-10,HAZARDS,NULL,1
2013-07,TRESPASS,Q,25
2011-08,"PROPERTY - MISSING, FOUND",D,22
2013-06,TRAFFIC RELATED CALLS,G,170
2012-04,MENTAL HEALTH,M,51
2013-06,ARREST,F,9
2011-11,PERSON DOWN/INJURY,W,8
2013-01,"PERSONS - LOST, FOUND, MISSING",D,4
2011-03,TRESPASS,W,4
2011-10,TRESPASS,B,17
2011-12,LIQUOR VIOLATIONS,K,493
2012-02,CAR PROWL,M,90
2012-05,BURGLARY,B,38
2011-01,ARREST,B,13
2012-02,"NUISANCE, MISCHIEF",O,36
2011-10,ASSAULTS,R,11
2012-10,ARREST,L,16
2013-01,AUTO THEFTS,B,41
2011-01,BIKE,J,3
2013-01,FRAUD CALLS,D,18
2011-06,HAZARDS,S,4
2013-02,OTHER PROPERTY,NULL,4
2013-04,ANIMAL COMPLAINTS,F,6
2013-07,PERSON DOWN/INJURY,D,20
2011-08,WEAPONS CALLS,N,1
2013-09,BIKE,M,5
2011-04,FAILURE TO REGISTER (SEX OFFENDER),C,1
2011-10,ROBBERY,D,5
2013-03,TRAFFIC RELATED CALLS,Q,200
2012-05,ASSAULTS,O,27
2013-07,HAZARDS,E,12
2012-02,RECKLESS BURNING,B,1
2012-08,AUTO THEFTS,M,12
2012-09,WEAPONS CALLS,N,3
2012-05,FALSE ALARMS,M,28
2011-02,HARBOR CALLS,J,2
2011-02,LIQUOR VIOLATIONS,N,7
2012-11,"NUISANCE, MISCHIEF",U,25
2011-06,PERSON DOWN/INJURY,F,5
2011-01,NARCOTICS COMPLAINTS,Q,12
2011-09,PROSTITUTION,J,1
2013-03,SUSPICIOUS CIRCUMSTANCES,G,171
2011-05,BIKE,B,2
2012-04,ARREST,F,16
2013-09,NARCOTICS COMPLAINTS,D,23
2012-12,SUSPICIOUS CIRCUMSTANCES,U,228
2011-06,"PERSONS - LOST, FOUND, MISSING",N,4
2013-12,ROBBERY,E,12
2013-11,FALSE ALARMS,W,86
2013-06,FALSE ALARMS,L,87
2012-09,ANIMAL COMPLAINTS,G,6
2012-12,OTHER PROPERTY,99,1
2012-02,"PROPERTY - MISSING, FOUND",G,10
2012-09,SHOPLIFTING,O,20
2013-09,"PROPERTY - MISSING, FOUND",Q,11
2013-07,"PROPERTY - MISSING, FOUND",J,14
2011-10,"PERSONS - LOST, FOUND, MISSING",E,4
2013-02,MISCELLANEOUS MISDEMEANORS,W,2
2013-02,PROWLER,M,1
2011-03,"THREATS, HARASSMENT",B,8
2012-06,SUSPICIOUS CIRCUMSTANCES,R,294
2013-01,WEAPONS CALLS,C,1
2012-01,ROBBERY,C,4
2011-02,HAZARDS,G,2
2013-05,ARREST,K,43
2013-08,ARREST,G,6
2013-03,PROPERTY DAMAGE,K,25
2012-08,NARCOTICS COMPLAINTS,W,12
2012-04,ACCIDENT INVESTIGATION,L,87
2013-02,"PROPERTY - MISSING, FOUND",99,1
2012-02,LIQUOR VIOLATIONS,G,9
2011-06,FALSE ALARMS,O,48
2012-03,AUTO THEFTS,E,12
2013-12,DRIVE BY (NO INJURY),S,1
2013-06,SUSPICIOUS CIRCUMSTANCES,NULL,9
2013-08,AUTO THEFTS,F,33
2012-02,OTHER PROPERTY,J,24
2012-06,NARCOTICS COMPLAINTS,J,21
2013-03,PROWLER,U,3
2013-04,ASSAULTS,R,13
2011-10,CAR PROWL,99,1
2012-12,TRESPASS,B,12
2012-05,TRESPASS,O,9
2011-09,AUTO THEFTS,M,11
2012-01,MENTAL HEALTH,L,42
2013-06,FALSE ALARMS,W,67
2013-01,"NUISANCE, MISCHIEF",D,51
2011-08,SHOPLIFTING,C,24
2011-01,"PROPERTY - MISSING, FOUND",W,7
2013-06,LIQUOR VIOLATIONS,NULL,1
2011-08,MENTAL HEALTH,J,39
2013-10,AUTO THEFTS,O,43
2011-11,FAILURE TO REGISTER (SEX OFFENDER),L,1
2013-01,ACCIDENT INVESTIGATION,E,71
2011-02,MISCELLANEOUS MISDEMEANORS,J,3
2011-08,ANIMAL COMPLAINTS,M,9
2013-10,BURGLARY,K,23
2011-12,WEAPONS CALLS,B,2
2012-04,PERSON DOWN/INJURY,W,10
2013-01,FALSE ALARMS,M,38
2012-04,TRAFFIC RELATED CALLS,K,241
2013-01,AUTO THEFTS,E,28
2013-03,"PROPERTY - MISSING, FOUND",K,30
2011-10,PROWLER,B,3
2013-03,OTHER PROPERTY,N,45
2013-05,LEWD CONDUCT,J,5
2013-03,"PERSONS - LOST, FOUND, MISSING",C,3
2013-10,ASSAULTS,C,10
2012-07,"THREATS, HARASSMENT",C,16
2011-04,TRESPASS,S,7
2013-02,"PROPERTY - MISSING, FOUND",B,14
2012-05,FALSE ALARMS,N,39
2012-07,PERSON DOWN/INJURY,S,4
2011-08,SHOPLIFTING,U,33
2011-06,TRESPASS,K,54
2012-07,WEAPONS CALLS,U,1
2011-05,SUSPICIOUS CIRCUMSTANCES,J,235
2013-04,PROPERTY DAMAGE,K,15
2013-12,ARREST,B,3
2012-06,DISTURBANCES,R,177
2012-07,ROBBERY,C,5
2012-10,BURGLARY,G,27
2012-02,DISTURBANCES,G,108
2013-01,WEAPONS CALLS,R,2
2012-09,SUSPICIOUS CIRCUMSTANCES,E,291
2012-07,WEAPONS CALLS,B,1
2013-04,PERSON DOWN/INJURY,U,4
2013-10,ARREST,F,6
2013-08,SHOPLIFTING,R,8
2013-12,MISCELLANEOUS MISDEMEANORS,J,2
2012-07,"PROPERTY - MISSING, FOUND",O,15
2012-12,FRAUD CALLS,N,15
2012-09,PROWLER,J,1
2012-10,AUTO THEFTS,R,24
2013-03,MISCELLANEOUS MISDEMEANORS,U,12
2012-09,DISTURBANCES,O,121
2011-05,ARREST,B,14
2013-09,DISTURBANCES,J,179
2013-12,AUTO THEFTS,B,29
2013-11,OTHER PROPERTY,M,73
2011-03,NARCOTICS COMPLAINTS,U,28
2012-04,SHOPLIFTING,F,14
2012-05,BIKE,B,4
2011-06,ANIMAL COMPLAINTS,U,3
2011-04,ANIMAL COMPLAINTS,Q,2
2011-03,MENTAL HEALTH,J,28
2013-04,SUSPICIOUS CIRCUMSTANCES,L,209
2011-03,NARCOTICS COMPLAINTS,F,4
2013-03,WEAPONS CALLS,F,4
2013-08,FRAUD CALLS,O,14
2013-11,FRAUD CALLS,L,12
2012-04,LIQUOR VIOLATIONS,L,21
2011-09,OTHER VICE,S,1
2011-10,"THREATS, HARASSMENT",Q,7
2011-08,PERSON DOWN/INJURY,Q,16
2013-06,TRAFFIC RELATED CALLS,E,217
2013-12,RECKLESS BURNING,R,1
2012-03,MISCELLANEOUS MISDEMEANORS,J,1
2011-09,LEWD CONDUCT,S,2
2012-02,ASSAULTS,S,18
2012-09,LEWD CONDUCT,S,1
2013-09,"NUISANCE, MISCHIEF",C,21
2013-08,AUTO THEFTS,G,18
2011-11,ROBBERY,G,12
2011-03,TRESPASS,U,34
2013-06,DISTURBANCES,M,327
2013-09,MENTAL HEALTH,F,12
2013-09,NARCOTICS COMPLAINTS,N,23
2011-07,FRAUD CALLS,E,19
2013-05,ROBBERY,J,2
2013-07,BIKE,N,5
2011-07,LEWD CONDUCT,S,3
2012-08,AUTO THEFTS,C,31
2011-12,HAZARDS,L,13
2011-05,TRAFFIC RELATED CALLS,L,150
2011-07,SHOPLIFTING,N,56
2013-08,BIKE,R,1
2011-10,"NUISANCE, MISCHIEF",W,13
2013-11,CAR PROWL,F,25
2013-11,"NUISANCE, MISCHIEF",E,18
2011-10,SUSPICIOUS CIRCUMSTANCES,W,205
2013-08,SHOPLIFTING,K,111
2011-04,FAILURE TO REGISTER (SEX OFFENDER),S,2
2011-04,PERSON DOWN/INJURY,Q,12
2013-12,FRAUD CALLS,NULL,3
2013-06,ANIMAL COMPLAINTS,K,3
2013-03,OTHER PROPERTY,M,77
2012-09,"NUISANCE, MISCHIEF",K,106
2013-12,ROBBERY,Q,3
2012-07,ROBBERY,G,6
2012-12,BURGLARY,J,55
2011-07,CAR PROWL,R,37
2013-01,PROPERTY DAMAGE,G,25
2013-09,SHOPLIFTING,E,23
2012-04,FALSE ALARMS,C,93
2011-07,PERSON DOWN/INJURY,L,5
2013-04,PROPERTY DAMAGE,F,26
2013-01,MENTAL HEALTH,C,37
2012-01,PROWLER,G,3
2011-10,ACCIDENT INVESTIGATION,NULL,1
2012-09,SHOPLIFTING,E,25
2011-05,FRAUD CALLS,C,18
2012-01,TRESPASS,Q,10
2011-06,ACCIDENT INVESTIGATION,S,83
2012-03,ASSAULTS,L,16
2012-04,NARCOTICS COMPLAINTS,M,155
2011-02,FRAUD CALLS,J,19
2011-09,"PROPERTY - MISSING, FOUND",L,8
2011-05,ROBBERY,Q,10
2012-05,PROWLER,W,1
2013-06,PROPERTY DAMAGE,G,13
2013-04,AUTO THEFTS,99,1
2012-03,LIQUOR VIOLATIONS,D,140
2012-05,CAR PROWL,O,27
2013-11,PROPERTY DAMAGE,K,13
2013-01,FRAUD CALLS,B,10
2011-09,FRAUD CALLS,M,21
2011-05,"THREATS, HARASSMENT",M,10
2011-08,PROWLER,U,5
2013-07,LEWD CONDUCT,D,3
2011-12,WEAPONS CALLS,S,8
2013-03,PROSTITUTION,U,2
2012-05,SHOPLIFTING,K,115
2013-07,AUTO THEFTS,E,32
2011-09,BURGLARY,E,24
2013-07,HAZARDS,C,27
2011-09,HAZARDS,N,8
2012-06,"NUISANCE, MISCHIEF",Q,26
2012-04,PROPERTY DAMAGE,R,32
2012-07,BIKE,S,1
2013-05,LIQUOR VIOLATIONS,N,7
2012-06,NARCOTICS COMPLAINTS,F,10
2012-04,NARCOTICS COMPLAINTS,E,38
2012-12,FRAUD CALLS,M,23
2011-11,SHOPLIFTING,U,54
2013-11,BURGLARY,L,42
2011-12,PERSON DOWN/INJURY,Q,13
2013-11,TRESPASS,J,9
2013-04,OTHER PROPERTY,O,33
2013-08,AUTO THEFTS,O,30
2012-02,SHOPLIFTING,K,115
2013-03,ACCIDENT INVESTIGATION,E,74
2013-09,CAR PROWL,B,40
2013-07,SUSPICIOUS CIRCUMSTANCES,R,195
2013-03,"THREATS, HARASSMENT",S,21
2011-05,DISTURBANCES,E,199
2011-02,AUTO THEFTS,R,20
2011-05,TRAFFIC RELATED CALLS,U,267
2012-10,PERSON DOWN/INJURY,H,1
2011-12,BURGLARY,J,47
2013-03,"PERSONS - LOST, FOUND, MISSING",B,3
2011-09,BIKE,L,5
2012-12,MENTAL HEALTH,S,36
2012-09,TRAFFIC RELATED CALLS,R,199
2011-05,MISCELLANEOUS MISDEMEANORS,U,21
2011-09,WEAPONS CALLS,S,7
2012-08,PERSON DOWN/INJURY,D,23
2011-09,BURGLARY,L,55
2013-01,FAILURE TO REGISTER (SEX OFFENDER),S,1
2011-01,FALSE ALARMS,E,13
2012-01,ROBBERY,Q,2
2011-05,ANIMAL COMPLAINTS,NULL,1
2012-11,HAZARDS,J,12
2012-05,CAR PROWL,F,23
2013-03,DISTURBANCES,NULL,6
2011-11,NARCOTICS COMPLAINTS,NULL,1
2011-11,AUTO THEFTS,K,14
2011-04,OTHER PROPERTY,K,72
2013-02,LIQUOR VIOLATIONS,NULL,9
2013-09,ROBBERY,E,12
2013-06,BURGLARY,Q,46
2012-07,MENTAL HEALTH,E,74
2012-09,WEAPONS CALLS,C,2
2011-12,"PERSONS - LOST, FOUND, MISSING",U,3
